Product_ID,Channel,Price,Promotion,Competitor_Price,Location_Type,Weekday,Stock_Availability,Sales,Revenue
67,Online,97.95,0,68.34,Suburban,Tuesday,In Stock,297.183582785735,29109.131933862744
68,Physical,46.62,1,15.53,Rural,Saturday,In Stock,565.7193968961958,26373.838283300647
69,Online,88.37,0,83.24,Urban,Thursday,Out of Stock,400.75626404496745,35414.831053653776
70,Physical,80.41,0,94.65,Suburban,Friday,In Stock,452.7470091070812,36405.3870023004
71,Physical,61.03,1,68.39,Rural,Sunday,In Stock,645.3948157555772,39388.44560556288
72,Online,76.46,1,95.91,Urban,Thursday,Low Stock,684.867385807469,52027.284594099125
73,Online,89.07,1,23.63,Suburban,Monday,Low Stock,559.8741723768047,49867.992533602
74,Physical,46.37,0,52.97,Urban,Thursday,In Stock,385.7436305184727,17886.93214714158
75,Physical,39.43,1,64.16,Rural,Friday,In Stock,837.2557414008625,33012.99388343601
76,Physical,70.08,0,62.36,Urban,Monday,Low Stock,269.7627056544817,18904.97041226608
77,Physical,82.71,0,46.13,Suburban,Wednesday,In Stock,496.2997403043127,41048.951520569695
78,Online,78.61,0,40.43,Urban,Monday,In Stock,242.3290141308624,19049.483800827096
79,Online,81.8,0,21.41,Suburban,Saturday,In Stock,249.62602037952468,20419.40846704512
80,Online,49.2,0,45.26,Urban,Tuesday,In Stock,420.17759451629735,20672.73765020183
81,Physical,83.61,0,24.64,Urban,Saturday,In Stock,169.94792501719814,14209.346010687936
82,Physical,20.82,1,76.09,Urban,Sunday,Low Stock,687.981866675596,14323.78246418591
83,Online,59.0,0,28.79,Rural,Monday,In Stock,269.54618901623576,15903.22515195791
84,Online,10.52,0,15.27,Urban,Wednesday,In Stock,370.22565713293005,3894.773913038424
85,Online,39.21,0,59.71,Urban,Thursday,In Stock,478.3126366973766,18754.63848490414
86,Online,42.98,1,63.57,Suburban,Monday,In Stock,735.6976890242934,31620.286674264127
87,Physical,45.66,0,88.47,Suburban,Saturday,Low Stock,491.7280260983025,22452.30167164849
88,Physical,72.59,0,61.93,Rural,Monday,In Stock,463.8970915374216,33674.28987470143
89,Physical,44.97,1,41.09,Urban,Monday,Out of Stock,440.2183707284182,19796.620131656968
90,Online,50.38,1,82.27,Suburban,Monday,In Stock,459.8623929365467,23167.867356143222
91,Online,31.38,0,58.63,Urban,Wednesday,In Stock,552.816015695536,17347.366572525916
92,Physical,43.59,0,17.14,Urban,Friday,Low Stock,557.2762385101446,24291.671236657206
93,Physical,30.45,1,60.93,Suburban,Friday,In Stock,636.1804452133154,19371.694556745453
94,Online,16.59,0,91.72,Suburban,Monday,In Stock,708.0397446537072,11746.379363805005
95,Physical,64.31,0,45.67,Suburban,Wednesday,Low Stock,515.7674410196477,33169.00413197354
96,Online,70.14,1,36.67,Urban,Wednesday,In Stock,424.1969650317857,29753.175127329447
97,Online,65.75,0,22.91,Urban,Sunday,Low Stock,300.488671833875,19757.130173077283
98,Online,51.71,0,23.63,Urban,Monday,Out of Stock,413.4838350630632,21381.249111111
99,Online,44.18,0,48.95,Rural,Saturday,In Stock,508.2719106118169,22455.45301083007
100,Online,87.7,0,63.61,Urban,Saturday,In Stock,180.372491131679,15818.66747224825
101,Online,56.72,0,17.26,Urban,Tuesday,In Stock,365.572562627075,20735.275752207694
102,Physical,53.13,1,94.56,Urban,Monday,In Stock,603.0968590556804,32042.5361216283
103,Online,12.31,0,77.96,Suburban,Tuesday,Low Stock,533.8831160889688,6572.101159055206
104,Online,40.71,0,62.8,Urban,Saturday,Low Stock,476.1339609822313,19383.41355158664
105,Physical,44.22,0,84.56,Rural,Saturday,In Stock,397.8175168137275,17591.49059350303
106,Online,45.89,0,17.22,Urban,Monday,In Stock,222.7322270126316,10221.181897609662
107,Online,62.22,1,52.92,Rural,Tuesday,In Stock,494.75482496410285,30783.64520926648
108,Physical,58.02,0,66.71,Urban,Tuesday,In Stock,520.5577023395575,30202.75788974113
109,Online,64.71,0,84.58,Suburban,Monday,Low Stock,407.9459261846642,26398.180883409612
110,Online,78.84,0,80.51,Rural,Sunday,In Stock,289.0070736192325,22785.31768414029
111,Online,83.17,0,34.94,Urban,Tuesday,Low Stock,198.2551214412,16488.878450264605
112,Online,74.63,0,94.68,Rural,Sunday,In Stock,483.0494517766553,36049.98058609178
113,Physical,96.0,1,21.19,Urban,Thursday,Low Stock,473.1185217942598,45419.37809224894
114,Physical,11.64,1,88.76,Rural,Saturday,In Stock,813.8256191427297,9472.930206821376
115,Physical,27.62,0,97.38,Suburban,Friday,In Stock,728.1691899248558,20112.03302572452
116,Physical,10.68,0,25.94,Urban,Sunday,In Stock,409.7376302229831,4375.997890781459
117,Physical,68.27,1,74.99,Urban,Sunday,Low Stock,503.64200832651954,34383.639908451485
118,Online,90.82,1,13.63,Urban,Sunday,In Stock,411.2590850424408,37350.55010355447
119,Physical,31.91,0,46.49,Urban,Wednesday,In Stock,341.3772418772768,10893.347788303903
120,Online,93.43,0,56.47,Urban,Tuesday,In Stock,220.0976786373588,20563.726115088437
121,Physical,15.42,0,62.26,Urban,Tuesday,In Stock,664.7519157041531,10250.474540158042
122,Physical,94.1,1,94.23,Urban,Wednesday,In Stock,484.9525770788349,45634.037503118365
123,Online,41.65,1,70.5,Suburban,Tuesday,Out of Stock,498.7139067717317,20771.434217042624
124,Online,19.13,0,53.32,Urban,Wednesday,In Stock,376.6028592793089,7204.41269801318
125,Online,53.73,0,82.87,Urban,Sunday,In Stock,611.4165181365007,32851.40951947418
126,Online,33.11,1,95.55,Suburban,Monday,In Stock,469.8765616459079,15557.612956096007
127,Physical,35.64,1,11.99,Urban,Thursday,In Stock,562.4795178970305,20046.77001785017
128,Physical,37.66,1,98.43,Urban,Sunday,In Stock,611.7455564613302,23038.337656333693
129,Online,82.27,1,17.75,Urban,Thursday,In Stock,452.2618316363351,37207.58088872128
130,Online,58.52,0,83.29,Rural,Saturday,In Stock,357.54517001910966,20923.5433495183
131,Online,38.02,0,35.23,Rural,Sunday,In Stock,698.869893536177,26571.03335224545
132,Online,64.93,0,21.9,Urban,Friday,Low Stock,356.7748855688381,23165.39331998466
133,Online,74.45,0,49.59,Suburban,Tuesday,In Stock,395.31192187855896,29430.972583858715
134,Online,34.54,0,67.96,Suburban,Friday,Out of Stock,437.7252813223157,15119.031216872783
135,Physical,47.22,1,44.29,Suburban,Monday,In Stock,509.9719665801174,24080.87626191314
136,Online,20.97,0,14.91,Suburban,Thursday,In Stock,445.680092724382,9345.91154443029
137,Online,26.3,1,63.95,Suburban,Sunday,In Stock,815.4568329251683,21446.514705931928
138,Physical,71.3,0,91.22,Urban,Monday,In Stock,472.9476771427786,33721.16938028012
139,Online,26.33,1,44.49,Urban,Monday,Out of Stock,651.2079706403239,17146.305866959727
140,Physical,57.26,0,29.47,Urban,Tuesday,Low Stock,411.7948876481864,23579.375266735155
141,Physical,73.81,0,49.83,Rural,Monday,In Stock,404.1860899084596,29832.97529614341
142,Online,19.62,0,14.35,Suburban,Sunday,In Stock,321.084649025721,6299.680813884646
143,Online,61.06,0,83.84,Rural,Sunday,In Stock,658.8968108036714,40232.23926767218
144,Online,33.09,1,84.37,Rural,Thursday,In Stock,565.1761427805039,18701.67856460688
145,Online,96.66,1,62.92,Urban,Sunday,In Stock,383.6895664330913,37087.4334914226
146,Online,53.52,0,41.78,Suburban,Friday,Out of Stock,549.3882897521628,29403.26126753576
147,Physical,82.54,0,81.98,Suburban,Thursday,Out of Stock,568.532529673736,46926.67499927017
148,Online,59.52,0,59.92,Rural,Tuesday,Out of Stock,492.11540797314746,29290.709082561734
149,Online,13.91,0,84.33,Rural,Thursday,Low Stock,569.5055310254454,7921.821936563946
150,Online,66.98,1,66.83,Suburban,Wednesday,In Stock,512.00345529443,34293.99143562092
151,Physical,95.63,1,80.6,Urban,Friday,In Stock,443.1917279107855,42382.42494010841
152,Online,64.15,0,63.87,Suburban,Wednesday,In Stock,423.4540457309134,27164.577033638096
153,Online,83.73,1,47.27,Urban,Wednesday,In Stock,278.4796972587536,23317.10505147544
154,Online,89.58,0,96.22,Suburban,Saturday,In Stock,504.9209532395488,45230.81899119878
155,Physical,30.53,1,58.7,Rural,Sunday,Low Stock,624.0038975937779,19050.83899353804
156,Online,29.08,0,64.46,Urban,Tuesday,Low Stock,454.91812310500586,13229.019019893569
157,Physical,64.99,1,29.84,Suburban,Monday,Out of Stock,382.37569122525593,24850.59617272938
158,Physical,46.99,1,66.31,Urban,Wednesday,Low Stock,595.1400035508713,27965.628766855443
159,Online,85.59,0,61.44,Urban,Thursday,Out of Stock,183.02433504415933,15665.052836429595
160,Physical,91.0,1,26.64,Urban,Monday,In Stock,422.6235076165957,38458.7391931102
161,Online,41.81,0,15.36,Suburban,Thursday,Low Stock,407.8580302409742,17052.54424437513
162,Physical,31.32,0,64.39,Rural,Thursday,In Stock,675.7289617026092,21163.83108052572
163,Physical,80.25,0,78.73,Rural,Monday,In Stock,384.34337211345706,30843.55561210493
164,Online,34.73,1,57.11,Urban,Monday,Out of Stock,484.13820602144506,16814.119895124786
165,Online,84.04,1,30.41,Rural,Sunday,Low Stock,246.8996810122664,20749.44919227087
166,Physical,48.14,1,69.99,Suburban,Thursday,In Stock,532.4194386087572,25630.67177462557
167,Online,70.08,1,17.21,Urban,Tuesday,In Stock,360.6495233378469,25274.31859551631
168,Online,18.6,0,49.77,Urban,Sunday,In Stock,477.7138285342419,8885.477210736899
169,Online,66.15,1,24.7,Urban,Friday,In Stock,430.7230532918435,28492.32997525545
170,Online,50.66,0,26.6,Rural,Saturday,Out of Stock,316.6256306114323,16040.25444677516
171,Physical,62.79,0,28.21,Suburban,Friday,In Stock,362.075589442424,22734.7262610898
172,Online,25.12,0,44.8,Suburban,Tuesday,In Stock,449.61515843317306,11294.332779841308
173,Online,76.32,1,14.6,Urban,Sunday,In Stock,425.2503707734571,32455.108297430244
174,Online,87.65,1,45.8,Suburban,Saturday,In Stock,353.81512066231755,31011.89532605213
175,Physical,29.51,0,56.05,Urban,Sunday,In Stock,633.4356672267432,18692.686539861195
176,Online,18.61,0,53.5,Urban,Monday,Out of Stock,607.0944699789653,11298.028086308545
177,Physical,12.13,1,44.45,Suburban,Saturday,In Stock,665.8035339811705,8076.196867191599
178,Online,67.78,0,85.52,Urban,Thursday,In Stock,413.042273336009,27996.00528671469
179,Physical,64.64,1,23.08,Rural,Friday,In Stock,268.0190274671377,17324.74993547578
180,Online,59.2,1,55.51,Urban,Saturday,In Stock,645.1749404673922,38194.35647566962
181,Online,30.88,0,15.58,Suburban,Thursday,Low Stock,355.00229215827005,10962.470781847378
182,Online,45.18,0,16.4,Urban,Sunday,In Stock,383.743213440222,17337.518383229228
183,Physical,63.5,1,61.65,Suburban,Tuesday,Low Stock,535.4304323535882,33999.83245445285
184,Physical,54.71,1,60.94,Urban,Saturday,In Stock,512.0438440421941,28013.91870754844
185,Online,98.9,0,89.02,Urban,Thursday,In Stock,467.35010543580273,46220.925427600894
186,Physical,22.28,1,60.21,Rural,Sunday,In Stock,520.3029082591254,11592.348796013312
187,Physical,72.56,0,96.38,Urban,Sunday,In Stock,612.1934806987337,44420.75895950011
188,Online,46.39,0,14.38,Rural,Sunday,Low Stock,433.5507557508316,20112.41955928108
189,Online,48.54,1,18.82,Rural,Tuesday,In Stock,443.1079413165531,21508.459471505485
190,Online,74.58,1,13.97,Urban,Monday,In Stock,343.3870006068712,25609.802505260453
191,Online,72.32,0,26.67,Urban,Tuesday,In Stock,78.53784960961585,5679.857283767417
192,Physical,99.21,1,58.71,Suburban,Tuesday,In Stock,285.3617229831899,28310.73653716227
193,Physical,21.56,0,68.1,Rural,Friday,Out of Stock,525.3496244986957,11326.53790419188
194,Physical,19.37,0,14.1,Rural,Sunday,In Stock,478.0154976030908,9259.160188571868
195,Online,75.19,0,95.14,Suburban,Thursday,In Stock,553.0731244452227,41585.56822703629
196,Online,62.05,1,85.79,Suburban,Saturday,Out of Stock,758.1595624828951,47043.80085206364
197,Physical,34.67,0,36.7,Urban,Friday,In Stock,479.2817098802573,16616.696881548523
198,Physical,17.15,0,16.95,Rural,Sunday,In Stock,494.43593121429655,8479.576220325185
199,Physical,17.71,0,25.29,Rural,Wednesday,In Stock,439.5598232488132,7784.604469736482
200,Physical,90.48,1,21.42,Urban,Tuesday,Low Stock,154.64998566771297,13992.73070321467
201,Physical,27.27,0,21.1,Urban,Wednesday,Low Stock,386.1763473794784,10531.028993038375
202,Online,39.1,1,56.67,Urban,Sunday,In Stock,555.9398920253977,21737.24977819305
203,Online,30.4,0,32.13,Urban,Friday,In Stock,555.3994420665163,16884.143038822094
204,Physical,41.95,0,42.23,Rural,Thursday,Out of Stock,489.5864531581947,20538.15170998627
205,Physical,16.25,0,99.06,Urban,Friday,In Stock,663.3995223901061,10780.242238839224
206,Online,56.72,1,71.59,Urban,Thursday,In Stock,486.5799906510748,27598.817069728964
207,Online,16.09,1,95.41,Urban,Thursday,In Stock,536.2933250955869,8628.959600787992
208,Physical,82.03,0,22.83,Rural,Sunday,Low Stock,66.37939512673452,5445.101782246033
209,Online,31.03,0,44.39,Suburban,Monday,In Stock,313.80135330579884,9737.255993078938
210,Online,58.6,0,59.93,Urban,Sunday,In Stock,385.5593323795282,22593.776877440352
211,Online,89.21,0,16.91,Urban,Tuesday,In Stock,320.98944377179896,28635.468278882185
212,Physical,68.58,0,10.38,Rural,Friday,In Stock,377.4365569960884,25884.59907879174
213,Physical,57.97,0,70.34,Rural,Thursday,Low Stock,517.1565762077437,29979.566722762906
214,Online,39.19,0,67.76,Urban,Sunday,In Stock,446.8454516481961,17511.873250092805
215,Physical,39.97,0,46.97,Urban,Sunday,In Stock,568.471316611711,22721.79852497009
216,Online,70.25,0,54.07,Urban,Friday,In Stock,269.1579423710156,18908.345451563848
217,Online,99.47,1,47.39,Urban,Friday,In Stock,431.9743438858876,42968.48798632924
218,Physical,69.57,0,12.16,Suburban,Thursday,Low Stock,113.3673680211945,7886.9677932345
219,Physical,60.2,0,40.18,Rural,Saturday,In Stock,251.9487756112781,15167.316291798945
220,Physical,75.76,1,25.94,Urban,Wednesday,Low Stock,551.9815060970564,41818.11890191299
221,Physical,51.87,0,18.86,Rural,Tuesday,In Stock,335.7915386170796,17417.50710806792
222,Online,15.41,0,96.1,Urban,Tuesday,In Stock,570.1680140583551,8786.289096639252
223,Online,60.61,0,63.94,Suburban,Saturday,In Stock,526.0208708665654,31882.12498322253
224,Online,96.19,0,75.58,Suburban,Monday,In Stock,436.2321623557272,41961.1716969974
225,Online,25.78,0,38.38,Urban,Saturday,In Stock,443.2019191900777,11425.745476720203
226,Online,72.1,0,45.38,Urban,Monday,Low Stock,366.2563452942137,26407.08249571281
227,Physical,28.08,1,31.32,Suburban,Monday,In Stock,578.0507425407144,16231.66485054326
228,Online,58.22,0,18.73,Urban,Saturday,In Stock,50.97985592700002,2968.047212069941
229,Physical,18.7,0,26.11,Urban,Tuesday,Low Stock,347.18399212362726,6492.3406527118295
230,Physical,50.53,0,81.78,Suburban,Wednesday,Low Stock,580.9304414182077,29354.415204862034
231,Physical,78.05,0,70.98,Rural,Tuesday,In Stock,285.52457509572497,22285.19308622133
232,Online,41.28,0,59.22,Urban,Sunday,In Stock,526.9437896065064,21752.239634956582
233,Online,69.84,1,52.76,Rural,Tuesday,In Stock,487.3840451345533,34038.90171219721
234,Online,81.59,0,93.02,Urban,Tuesday,Low Stock,522.0182770127882,42591.47122147339
235,Online,93.45,0,16.55,Suburban,Saturday,Low Stock,69.64585115921437,6508.404790828584
236,Physical,31.12,0,35.25,Suburban,Saturday,Low Stock,501.0005840961252,15591.138177071416
237,Online,45.94,0,41.49,Rural,Sunday,Low Stock,415.6485541864556,19094.89457932577
238,Online,23.72,1,80.42,Urban,Sunday,In Stock,598.8425659325052,14204.545663919022
239,Physical,99.32,0,99.33,Suburban,Saturday,Low Stock,271.36035897207614,26951.5108531066
240,Online,93.43,0,31.66,Suburban,Tuesday,In Stock,259.0630880825663,24204.26431955417
241,Physical,58.6,0,88.69,Urban,Wednesday,In Stock,535.2470171051791,31365.475202363497
242,Physical,85.78,1,84.76,Urban,Monday,In Stock,475.64962825442944,40801.22511166496
243,Physical,56.89,0,30.22,Urban,Friday,Out of Stock,370.7964251857279,21094.60862881606
244,Online,66.12,0,45.94,Urban,Monday,Low Stock,310.6105595963976,20537.57020051381
245,Online,18.02,1,46.87,Rural,Sunday,In Stock,587.4514182950276,10585.874557676396
246,Physical,77.97,1,98.04,Urban,Sunday,Low Stock,443.9379641642103,34613.84306588348
247,Online,21.49,0,26.28,Urban,Monday,Low Stock,425.4848348304972,9143.669100507384
248,Physical,84.35,0,81.92,Suburban,Friday,In Stock,428.08255918349977,36108.76386712821
249,Physical,80.38,0,40.08,Urban,Tuesday,In Stock,369.4705624433849,29698.04380919928
250,Physical,73.79,0,75.78,Suburban,Wednesday,Low Stock,265.7074384193862,19606.55188096651
251,Online,13.25,0,47.8,Urban,Wednesday,In Stock,459.58133247184014,6089.452655251882
252,Online,37.28,0,62.05,Rural,Monday,In Stock,422.5801976330808,15753.789767761256
253,Physical,33.68,0,84.94,Rural,Friday,Low Stock,545.5963138233584,18375.683849570712
254,Online,42.41,0,82.37,Rural,Sunday,Out of Stock,347.9897193963597,14758.243999599614
255,Online,17.89,0,87.98,Urban,Thursday,In Stock,525.454295226166,9400.37734159611
256,Online,94.33,1,15.37,Suburban,Tuesday,Low Stock,162.02684869779276,15283.99263766279
257,Physical,59.84,0,72.28,Urban,Monday,In Stock,475.1682134210116,28434.065891113336
258,Physical,37.5,0,22.6,Urban,Wednesday,In Stock,410.9825057667735,15411.843966254006
259,Online,45.73,0,47.42,Urban,Sunday,In Stock,388.5302474557631,17767.488216152044
260,Online,50.25,1,59.37,Suburban,Saturday,In Stock,436.53727192319786,21935.99791414069
261,Physical,64.05,0,46.25,Urban,Saturday,Low Stock,323.61535487108057,20727.56347949271
262,Physical,56.41,0,56.77,Suburban,Friday,In Stock,359.6357884242079,20287.054825009564
263,Online,92.75,0,99.69,Urban,Friday,In Stock,538.2216552519872,49920.05852462181
264,Online,54.73,0,22.17,Urban,Monday,In Stock,452.486971158177,24764.611931487027
265,Physical,99.29,0,70.79,Suburban,Thursday,Out of Stock,224.99420740710792,22339.674853451743
266,Physical,86.63,0,45.64,Urban,Wednesday,In Stock,304.59453409524576,26387.02448867114
267,Physical,28.77,0,21.97,Suburban,Monday,In Stock,537.6658646585996,15468.646926227912
268,Physical,93.75,1,24.29,Urban,Thursday,In Stock,251.3535812703712,23564.398244097298
269,Online,20.47,0,95.43,Rural,Sunday,Low Stock,477.503925902673,9774.505363227716
270,Online,83.57,0,89.16,Suburban,Friday,In Stock,206.1391479067376,17227.04859056606
271,Physical,44.26,1,91.63,Urban,Saturday,In Stock,755.5766919914607,33441.82438754205
272,Physical,89.02,0,99.24,Urban,Tuesday,In Stock,367.8037618530082,32741.890880154788
273,Physical,88.13,0,28.75,Suburban,Sunday,Low Stock,278.1775232874699,24515.78512732472
274,Physical,82.53,0,41.99,Rural,Saturday,In Stock,237.701262468094,19617.4851914918
275,Online,81.1,0,70.23,Urban,Wednesday,In Stock,229.8201081510316,18638.41077104866
276,Online,37.42,1,53.54,Urban,Wednesday,In Stock,467.9799175160902,17511.808513452095
277,Physical,17.28,1,47.66,Rural,Saturday,In Stock,500.7365207707391,8652.727078918371
278,Physical,46.27,0,42.2,Suburban,Sunday,Low Stock,507.4544414468875,23479.917005747484
279,Physical,25.62,0,63.44,Urban,Saturday,In Stock,686.4661158332051,17587.261887646717
280,Physical,72.55,1,61.8,Urban,Thursday,Out of Stock,473.3993962475023,34345.12619775629
281,Physical,41.15,1,24.53,Urban,Monday,Out of Stock,353.25509067996006,14536.446981480356
282,Online,97.8,1,52.46,Suburban,Friday,In Stock,412.2784190835608,40320.82938637225
283,Online,67.69,0,59.81,Urban,Thursday,Low Stock,509.2034664992543,34467.982647334524
284,Online,84.02,0,61.33,Rural,Tuesday,Low Stock,425.7566767483394,35772.07598039547
285,Online,21.93,1,28.91,Urban,Saturday,Low Stock,578.1518951515006,12678.871060672407
286,Online,87.58,0,76.8,Urban,Tuesday,In Stock,323.6217763373118,28342.79517162177
287,Online,93.05,0,12.27,Suburban,Tuesday,In Stock,195.14836787902692,18158.555631143456
288,Online,53.84,0,41.93,Rural,Thursday,In Stock,517.9449004976716,27886.15344279464
289,Online,64.56,0,80.22,Rural,Friday,Low Stock,510.51654278213823,32958.94800201485
290,Online,78.83,0,60.75,Urban,Sunday,In Stock,307.01930003766984,24202.331421969517
291,Online,25.74,0,33.5,Suburban,Wednesday,In Stock,435.8184724209604,11217.967480115518
292,Online,55.23,1,72.55,Suburban,Monday,In Stock,503.6254951259316,27815.2360958052
293,Physical,45.88,0,61.07,Urban,Wednesday,In Stock,355.09673664476986,16291.838277262044
294,Online,23.17,1,81.66,Urban,Friday,In Stock,817.4088235745386,18939.36244222206
295,Online,43.08,0,76.15,Urban,Wednesday,In Stock,422.7376252253561,18211.53689470834
296,Online,16.14,0,64.91,Urban,Saturday,In Stock,622.3576065666753,10044.85176998614
297,Physical,12.32,1,53.94,Rural,Saturday,Out of Stock,598.6172361682168,7374.964349592431
298,Online,22.16,0,21.99,Urban,Thursday,In Stock,418.6976117966638,9278.33907741407
299,Physical,96.68,0,33.52,Rural,Tuesday,Low Stock,217.2719233277029,21005.84954732232
300,Online,59.46,0,47.72,Suburban,Friday,In Stock,441.8542424834208,26272.6532580642
301,Online,96.92,0,63.94,Suburban,Friday,In Stock,262.73761182145205,25464.529337735134
302,Online,48.92,1,56.23,Suburban,Wednesday,Low Stock,427.3194828382668,20904.46910044801
